chr	pos	cm
1	269851824	157.4
1	270351126	157.6
1	270599521	157.8
1	270863837	158
1	271081299	158.2
1	271337400	158.4
1	271591327	158.6
1	271829321	158.8
1	272093871	159
1	272348250	159.2
1	272607730	159.4
1	272870318	159.6
1	273082395	159.8
1	273862527	160.4
1	274120139	160.6
1	274645985	161
1	274826808	161.2
1	275072550	161.4
1	275321086	161.6
1	275562500	161.8
1	275855355	162
1	276392797	162.2
1	276950695	162.4
1	277455040	162.6
1	277725690	162.8
1	277986030	163
1	278263948	163.2
1	278541791	163.4
1	278802642	163.6
1	279073998	163.8
1	279339613	164
1	279604882	164.2
1	279874783	164.4
1	280086371	164.6
1	280272232	164.8
1	280457996	165
1	280637994	165.2
1	280822445	165.4
1	281031448	165.6
1	281200135	165.8
1	281423539	166
1	281576455	166.2
1	281753791	166.4
1	281943323	166.6
1	282124019	166.8
1	282323950	167
1	282521327	167.2
1	282691103	167.4
1	282863905	167.6
1	282984630	167.8
1	283104512	168
1	283345759	168.4
1	283470966	168.6
1	283590387	168.8
1	284320556	169
1	284514119	169.2
1	284701706	169.4
1	284900148	169.6
1	285094665	169.8
1	285288268	170
1	285479635	170.2
1	285670138	170.4
1	285858963	170.6
1	286055611	170.8
1	286307704	171
1	286555364	171.2
1	286660173	171.4
1	286868323	172
1	286963241	172.2
1	287061055	172.4
1	287165039	172.6
1	287249476	172.8
1	287348171	173
1	287428109	173.2
1	287523396	173.4
1	287618638	173.6
1	287713133	173.8
1	287807016	174
1	287900857	174.2
1	287998048	174.4
1	288077186	174.6
1	288163707	174.8
1	288271762	175
1	288353039	175.2
1	288444888	175.4
1	288613072	175.6
1	288781251	175.8
1	288971044	176
1	289151262	176.2
1	289338626	176.4
1	289521745	176.6
1	290030034	176.8
1	290355571	177
1	290649815	177.2
1	290930399	177.4
1	291164677	177.6
1	291434058	177.8
1	291670455	178
1	291916696	178.2
1	291993170	178.4
1	292120580	178.6
1	292255616	178.8
1	292368650	179
1	292454834	179.2
1	292668763	179.4
1	292932769	179.6
1	293171731	179.8
1	293312556	180
1	293459623	180.2
1	293587337	180.4
1	293720370	180.6
1	293808213	180.8
1	293850619	181
1	293986002	181.2
1	294197829	181.4
1	294422112	181.6
1	294596695	181.8
1	294733692	182
1	294851658	182.2
1	294969080	182.4
1	295086834	182.6
1	295322085	182.8
1	295444294	183
1	295546667	183.2
1	295833064	183.6
1	295946929	183.8
1	296066041	184
1	296185027	184.2
1	296303118	184.4
1	296420658	184.6
1	296556438	184.8
1	296701089	185
1	296850634	185.2
1	297001792	185.4
1	297147499	185.6
1	297295531	185.8
1	297430898	186
1	297574695	186.2
1	297714802	186.4
1	297872872	186.6
1	298151565	187
1	298296061	187.2
1	298450369	187.4
1	298580472	187.6
1	298724624	187.8
1	298871841	188
1	298943219	188.2
1	299013165	188.4
1	299082020	188.6
1	299159211	188.8
1	299231251	189
1	299304091	189.2
1	299375346	189.4
1	299447687	189.6
1	299580120	189.8
1	299595378	190
1	299668178	190.2
1	299739579	190.4
1	299885372	190.8
1	299962612	191
1	300035400	191.2
1	300126806	191.4
1	300241410	191.6
1	300346559	191.8
1	300478398	192
1	300593516	192.2
1	300622977	192.6
1	300772759	192.8
1	300927980	193
1	301214901	193.2
1	301550474	193.4
1	301724956	193.6
1	301982640	193.8
1	302056184	194
1	302088647	194.2
1	302119335	194.8
1	302220718	195
1	302274789	195.6
1	302307536	195.8
1	302340284	196
1	302373066	196.2
1	302397220	196.4
1	302412271	196.6
1	302607636	196.8
1	302752740	197
1	302776337	197.2
1	302842764	197.4
1	302904868	197.6
1	302969743	197.8
1	303074870	198
1	303196721	198.2
1	303452709	198.6
1	303703082	199
1	303831022	199.2
1	303961839	199.4
1	304123111	199.6
1	304256414	199.8
1	304363835	200
1	304525427	200.2
1	304604024	200.4
1	304791253	200.6
1	304921125	200.8
1	305022452	201
1	305114909	201.2
1	305294296	201.6
1	305386550	201.8
1	305654409	202
1	306175019	202.2
1	306313508	202.4
1	306455426	202.6
1	306688369	203
1	306870528	203.2
1	307009608	203.4
1	307133485	203.6
1	307262399	203.8
1	307394367	204
1	307522151	204.2
1	307760015	204.6
1	307887854	204.8
1	308023062	205
1	308156468	205.2
1	308290757	205.4
		
		
2	97534	-3.6
2	143417	-3.4
2	338892	-2.8
2	368904	-2.6
2	416111	-2.2
2	837159	-2
2	900589	-1.8
2	960673	-1.6
2	1019035	-1.4
2	1083930	-1.2
2	1139293	-1
2	1208608	-0.8
2	1255358	-0.6
2	1309928	-0.4
2	1526992	-0.2
2	1566735	8.33E-16
2	1613800	0.2
2	1656849	0.4
2	1696608	0.6
2	1738538	0.8
2	1783128	1
2	1883618	1.4
2	1926680	1.6
2	1969726	1.8
2	2013838	2
2	2055050	2.2
2	2098102	2.4
2	2140681	2.6
2	2183732	2.8
2	2226781	3
2	2269843	3.2
2	2318298	3.4
2	2361448	3.6
2	2409422	3.8
2	2451401	4
2	2492849	4.2
2	2518001	4.4
2	2568817	4.6
2	2606305	4.8
2	2767085	5.4
2	2869874	5.6
2	2945957	5.8
2	3066790	6.2
2	3191700	6.4
2	3351516	6.6
2	3440306	6.8
2	3473193	7
2	3503013	7.2
2	3532830	7.4
2	3583086	7.6
2	3599221	7.8
2	3636427	8
2	3665591	8.2
2	3694987	8.4
2	3723963	8.6
2	3755118	9
2	3784089	9.2
2	3813066	9.4
2	3842044	9.6
2	3871024	9.8
2	3937983	10
2	4048367	10.2
2	4108737	10.4
2	4196432	10.6
2	4289267	10.8
2	4349879	11
2	4448094	11.4
2	4563767	11.8
2	4607641	12
2	4659073	12.2
2	4709644	12.4
2	4761593	12.6
2	4813617	12.8
2	4867334	13
2	4919349	13.2
2	4971404	13.4
2	5020922	13.6
2	5080407	13.8
2	5129840	14
2	5193045	14.4
2	5245337	14.6
2	5308454	14.8
2	5360207	15
2	5433196	15.2
2	5486488	15.4
2	5566993	15.8
2	5619293	16
2	5676877	16.2
2	5725051	16.4
2	5777113	16.6
2	5831835	16.8
2	5912410	17
2	5940996	17.2
2	5991700	17.4
2	6043750	17.6
2	6080886	17.8
2	6118019	18
2	6182792	18.2
2	6364055	18.6
2	6463302	18.8
2	6555046	19
2	6645789	19.2
2	6764238	19.6
2	6828425	19.8
2	6890513	20
2	6958776	20.2
2	7027042	20.4
2	7084581	21
2	7351838	21.4
2	7484703	21.6
2	7555048	21.8
2	7687953	22.2
2	7801991	22.4
2	7898076	22.6
2	7933144	22.8
2	8009047	23
2	8086555	23.2
2	8433609	23.6
2	8639093	23.8
2	8678073	24
2	8734797	24.4
2	8887280	24.8
2	8964726	25
2	9040698	25.2
2	9126797	25.4
2	9200369	25.6
2	9276116	25.8
2	9346598	26
2	9422981	26.2
2	9507298	26.4
2	9591505	26.6
2	9661151	26.8
2	9739781	27
2	9820202	27.2
2	9883033	27.4
2	10066319	27.6
2	10240169	27.8
2	10412339	28
2	10507520	28.4
2	10635170	28.8
2	10726874	29
2	10777141	29.2
2	10841432	29.4
2	10910706	29.6
2	10978310	29.8
2	11041287	30
2	11112551	30.2
2	11179033	30.4
2	11214808	30.6
2	11281322	30.8
2	11403495	31
2	11407075	31.2
2	11481456	31.4
2	11547717	31.6
2	11777922	31.8
2	11815541	32
2	11896977	32.2
2	11964665	32.4
2	12030300	32.6
2	12104373	32.8
2	12182137	33
2	12236575	33.2
2	12293845	33.4
2	12359805	33.6
2	12426370	33.8
2	12491597	34
2	12558078	34.2
2	12619779	34.4
2	12683625	34.6
2	12749737	34.8
2	12818425	35
2	12886901	35.2
2	12960906	35.4
2	13096573	35.8
2	13163932	36
2	13267134	36.2
2	13397416	36.4
2	13482924	36.6
2	13586104	36.8
2	13783454	37.2
2	13889812	37.4
2	14001360	37.6
2	14101845	37.8
2	14202670	38
2	14302767	38.2
2	14403094	38.4
2	14503034	38.6
2	14598858	38.8
2	14790431	39
2	14873284	39.2
2	15050723	39.4
2	15148817	39.6
2	15245565	39.8
2	15405176	40
2	15523776	40.4
2	15663587	40.6
2	15846722	40.8
2	15965827	41
2	16133257	41.2
2	16317865	41.4
2	16518295	41.6
2	16592804	41.8
2	16669264	42
2	16743342	42.2
2	16816677	42.4
2	16890312	42.6
2	17037153	43
2	17111228	43.2
2	17196825	43.4
2	17257207	43.6
2	17318723	43.8
2	19169939	46.6
2	19454607	47.4
2	19578850	47.6
2	19730944	47.8
2	19913922	48
2	20102819	48.2
2	20312385	48.4
2	20457240	48.6
2	20645068	48.8
2	20816518	49
2	20997660	49.2
2	21173913	49.4
2	21352849	49.6
2	21393814	49.8
2	21432823	50.2
2	21524523	50.4
2	21561534	50.6
2	21759957	50.8
2	21951079	51
2	22083608	51.2
2	22533766	51.6
2	22739081	51.8
2	22859830	52
2	22988883	52.2
2	23071430	52.4
2	23207553	52.6
2	23333776	52.8
2	23449814	53
2	23711311	53.2
2	23787787	53.4
2	23880763	53.6
2	24029159	53.8
2	24193549	54
2	24210399	54.2
2	24253649	54.4
2	24395335	54.6
2	24542570	54.8
2	24734545	55
2	24923609	55.2
2	25107485	55.4
2	25300570	55.6
2	25484381	55.8
2	25716194	56
2	25870251	56.2
2	26132198	56.4
2	26272764	56.6
2	26955797	56.8
2	27234615	57
2	27499034	57.2
2	27806897	57.4
2	27983871	57.6
2	28305653	57.8
2	28566206	58
2	28830764	58.2
2	29115418	58.4
2	29374237	58.6
2	29467081	58.8
2	29572956	59
2	29760999	59.4
2	29839957	59.6
2	29970008	59.8
2	30191759	60.2
2	30358761	60.4
2	30492645	60.6
2	30800330	61
2	30881745	61.2
2	31059747	61.4
2	31193643	61.6
2	31902492	61.8
2	32502116	62
2	32868579	62.2
2	33238585	62.4
2	33623337	62.6
2	34014867	62.8
2	34383931	63
2	34782260	63.2
2	35248929	63.4
2	35957845	63.8
2	36257651	64
2	36546611	64.2
2	36833625	64.4
2	37102006	64.6
2	37424188	64.8
2	37729694	65
2	38043284	65.2
2	38358386	65.4
2	38704585	65.6
2	39001339	65.8
2	39290596	66
2	39631180	66.2
2	39939991	66.4
2	40226123	66.6
2	40565000	66.8
2	40884875	67
2	41194881	67.2
2	41525012	67.4
2	41866843	67.6
2	42359843	67.8
2	42881691	68
2	43312816	68.2
2	43723173	68.4
2	44153730	68.6
2	44554740	68.8
2	44961575	69
2	45385946	69.2
2	46081374	69.4
2	46794131	69.6
2	47534089	69.8
2	48303559	70
2	49036012	70.2
2	49420744	70.4
2	49857906	70.6
2	50175082	70.8
2	50469863	71
2	51021398	71.2
2	52555613	71.6
2	53371404	71.8
2	54309907	72
2	55470314	72.2
2	56619862	72.4
2	57743081	72.6
2	58866282	72.8
2	60095254	73
2	61225120	73.2
2	62878707	73.6
2	63274711	73.8
2	63728652	74
2	64227196	74.2
2	64574433	74.4
2	65008075	74.6
2	69239000	74.8
2	73285062	75
2	77449080	75.2
2	81481070	75.4
2	85559335	75.6
2	89697778	75.8
2	93848274	76
2	103201361	76.2
2	116353799	76.4
2	121355712	76.6
2	125849674	76.8
2	129607053	77
2	132490233	77.2
2	134048818	77.4
2	135623682	77.6
2	137201251	77.8
2	138645621	78
2	141959724	78.4
2	143559176	78.6
2	145141196	78.8
2	146817480	79
2	148420511	79.2
2	150109472	79.4
2	151669036	79.6
2	152726291	79.8
2	153811356	80
2	154899489	80.2
2	156073955	80.4
2	156994783	80.6
2	158357372	81
2	160304527	81.2
2	162218688	81.4
2	165035274	81.6
2	166189979	81.8
2	167371398	82
2	168570286	82.2
2	170097840	82.4
2	171958009	82.6
2	172782848	82.8
2	173629681	83
2	174370389	83.2
2	174878402	83.4
2	175520002	83.6
2	177733762	83.8
2	178284393	84
2	178724483	84.2
2	179181116	84.4
2	179624521	84.6
2	180274479	84.8
2	180825268	85
2	181292044	85.2
2	181747829	85.4
2	182190801	85.6
2	182482083	85.8
2	182790631	86
2	183098915	86.2
2	183412568	86.4
2	183722623	86.6
2	183998478	86.8
2	184148453	87
2	184455810	87.2
2	184686351	87.4
2	184932258	87.6
2	185150474	87.8
2	185392758	88
2	185889867	88.4
2	186139977	88.6
2	186365291	88.8
2	186610857	89
2	186861120	89.2
2	187145039	89.4
2	187409936	89.6
2	187649487	89.8
2	187918890	90
2	188195791	90.2
2	188466368	90.4
2	188714660	90.6
2	189029947	90.8
2	189343945	91
2	189671095	91.2
2	189894247	91.4
2	190052145	91.6
2	190208052	91.8
2	190371441	92
2	190535513	92.2
2	190680418	92.4
2	190843479	92.6
2	191022559	92.8
2	191330091	93.2
2	191634297	93.6
2	191786996	93.8
2	191991898	94
2	192159097	94.2
2	192316844	94.4
2	192478849	94.6
2	192667545	94.8
2	192788424	95
2	192939318	95.2
2	193075977	95.4
2	193443855	95.8
2	193602743	96
2	193748619	96.2
2	193922204	96.4
2	194069576	96.6
2	194425392	97
2	194603575	97.2
2	194724560	97.4
2	194899538	97.6
2	194924012	97.8
2	194973485	98
2	195132995	98.2
2	195328666	98.6
2	195492395	98.8
2	195699843	99
2	195920135	99.2
2	196882478	99.4
2	197109515	99.6
2	197355459	99.8
2	197751657	100.2
2	198014971	100.4
2	198278068	100.6
2	198459308	100.8
2	198675303	101
2	199226782	101.4
2	199452837	101.6
2	199681644	101.8
2	199887471	102
2	200153100	102.2
2	200385408	102.4
2	200613055	102.6
2	200795583	102.8
2	201590656	103.2
2	201834052	103.4
2	202034673	103.6
2	202208465	103.8
2	202388441	104
2	202565805	104.2
2	202734563	104.4
2	202911669	104.6
2	203162375	104.8
2	203334869	105
2	203605129	105.2
2	204009190	105.4
2	204487669	105.6
