type	sample_name	sample_description	files	chrPhased	genePhased	phasingConf	gvcfServerPath
GVCF	CML52	Zea-Syn Founder	CML52_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	M37W	Zea-Syn Founder	M37W_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	CML69	Zea-Syn Founder	CML69_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Mo18W	Zea-Syn Founder	Mo18W_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	HP301	Zea-Syn Founder	HP301_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Ms71	Zea-Syn Founder	Ms71_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Il14H	Zea-Syn Founder	Il14H_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	NC350	Zea-Syn Founder	NC350_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	NC358	Zea-Syn Founder	NC358_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Oh43	Zea-Syn Founder	Oh43_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Oh7B	Zea-Syn Founder	Oh7B_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	P39	Zea-Syn Founder	P39_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Tx303	Zea-Syn Founder	Tx303_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Tzi8	Zea-Syn Founder	Tzi8_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3A_pseudo	pseudogenome 1	JRIAL3A_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3B_pseudo	pseudogenome 2	JRIAL3B_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3C_pseudo	pseudogenome 3	JRIAL3C_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3D_pseudo	pseudogenome 4	JRIAL3D_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3E_pseudo	pseudogenome 5	JRIAL3E_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3F_pseudo	pseudogenome 6	JRIAL3F_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3G_pseudo	pseudogenome 7	JRIAL3G_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3H_pseudo	pseudogenome 8	JRIAL3H_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3I_pseudo	pseudogenome 9	JRIAL3I_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3J_pseudo	pseudogenome 10	JRIAL3J_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3K_pseudo	pseudogenome 11	JRIAL3K_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
